unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1750896000,2025-06-26 00:00:00,BTC/USD,107417,107460,107417,107440,0.39424863,42358.0728072
1750809600,2025-06-25 00:00:00,BTC/USD,106132,108182,105872,107418,1202.13073102,129130478.86470635
1750723200,2025-06-24 00:00:00,BTC/USD,105418,106344,104695,106131,1158.17542632,122918316.17076792
1750636800,2025-06-23 00:00:00,BTC/USD,100990,106125,99705,105464,1771.47809411,186827165.71721706
1750550400,2025-06-22 00:00:00,BTC/USD,102198,103387,98240,101015,1366.05281274,137991824.8789311
1750464000,2025-06-21 00:00:00,BTC/USD,103329,104013,100945,102139,817.52134527,83500812.68453252
1750377600,2025-06-20 00:00:00,BTC/USD,104682,106521,102309,103316,971.51619457,100373167.15819412
1750291200,2025-06-19 00:00:00,BTC/USD,104922,105254,103957,104688,464.84582604,48663779.83647552
1750204800,2025-06-18 00:00:00,BTC/USD,104617,105566,103521,104922,971.05031921,101884541.59215163
1750118400,2025-06-17 00:00:00,BTC/USD,106853,107773,103388,104584,1157.65258947,121071938.41713049
1750032000,2025-06-16 00:00:00,BTC/USD,105612,108990,105023,106829,932.05599039,99570609.39737332
1749945600,2025-06-15 00:00:00,BTC/USD,105475,106163,104532,105617,487.58970132,51497761.48431444
1749859200,2025-06-14 00:00:00,BTC/USD,106117,106250,104376,105464,516.90004886,54514346.75297104
1749772800,2025-06-13 00:00:00,BTC/USD,105725,106209,102816,106118,1268.16488329,134575121.0849682
1749686400,2025-06-12 00:00:00,BTC/USD,108670,108833,105731,105731,855.76506249,90480895.82213019
1749600000,2025-06-11 00:00:00,BTC/USD,110292,110398,108113,108678,717.48831230,77975194.80413939
1749513600,2025-06-10 00:00:00,BTC/USD,110311,110400,108403,110292,920.65276216,101540634.44415072
1749427200,2025-06-09 00:00:00,BTC/USD,105791,110587,105389,110307,1163.27877626,128317791.97291183
1749340800,2025-06-08 00:00:00,BTC/USD,105619,106507,105060,105792,353.13072588,37358405.75229696
1749254400,2025-06-07 00:00:00,BTC/USD,104416,105959,103992,105619,613.87145578,64836489.28802782
1749168000,2025-06-06 00:00:00,BTC/USD,101558,105416,101159,104393,1474.94148302,153973566.23690686
1749081600,2025-06-05 00:00:00,BTC/USD,104734,105959,100426,101559,1374.32950890,139575530.5943751
1748995200,2025-06-04 00:00:00,BTC/USD,105426,106036,104219,104745,791.94847355,82952642.86199476
1748908800,2025-06-03 00:00:00,BTC/USD,105890,106854,104947,105454,924.42389243,97484197.15231322
1748822400,2025-06-02 00:00:00,BTC/USD,105677,106001,103708,105905,941.73137580,99734061.354099
1748736000,2025-06-01 00:00:00,BTC/USD,104646,105908,103832,105705,648.06747831,68503972.79475854
1748649600,2025-05-31 00:00:00,BTC/USD,103988,104947,103127,104646,483.31138627,50576603.32761042
1748563200,2025-05-30 00:00:00,BTC/USD,105577,106329,103675,104034,1224.11022278,127349082.91669452
1748476800,2025-05-29 00:00:00,BTC/USD,107821,108924,105374,105578,1431.77890157,151164352.86995745
1748390400,2025-05-28 00:00:00,BTC/USD,108980,109307,106804,107811,1079.82738975,116417270.71633726
1748304000,2025-05-27 00:00:00,BTC/USD,109474,110789,107562,108980,1296.61250535,141304830.833043
1748217600,2025-05-26 00:00:00,BTC/USD,109114,110461,108759,109468,736.73662452,80649084.81295535
1748131200,2025-05-25 00:00:00,BTC/USD,107798,109383,106666,109068,908.97625311,99140221.97420149
1748044800,2025-05-24 00:00:00,BTC/USD,107319,109501,106908,107799,577.06680579,62207224.59735621
1747958400,2025-05-23 00:00:00,BTC/USD,111742,111816,106827,107329,1588.22862639,170462990.24181232
1747872000,2025-05-22 00:00:00,BTC/USD,109696,112000,109252,111743,1375.74025669,153729343.50331068
1747785600,2025-05-21 00:00:00,BTC/USD,106891,110730,106141,109682,2430.79413683,266614362.51578805
1747699200,2025-05-20 00:00:00,BTC/USD,105630,107340,104232,106855,1462.42485262,156267407.6267101
1747612800,2025-05-19 00:00:00,BTC/USD,106520,107115,102126,105622,1677.93212340,177226546.7377548
1747526400,2025-05-18 00:00:00,BTC/USD,103172,106635,103149,106520,905.17939556,96419709.2150512
1747440000,2025-05-17 00:00:00,BTC/USD,103503,103720,102668,103153,459.80988884,47430769.46351252
1747353600,2025-05-16 00:00:00,BTC/USD,103800,104570,103137,103506,994.76037696,102963667.57762176
1747267200,2025-05-15 00:00:00,BTC/USD,103514,104184,101442,103793,1339.09330148,138988511.04051363
1747180800,2025-05-14 00:00:00,BTC/USD,104126,104357,102622,103531,1171.49377037,121285921.54017647
1747094400,2025-05-13 00:00:00,BTC/USD,102796,104997,101471,104135,1432.50405705,149173809.98090175
1747008000,2025-05-12 00:00:00,BTC/USD,104138,105706,100764,102796,1914.47205431,196800069.29485077
1746921600,2025-05-11 00:00:00,BTC/USD,104809,104958,103369,104129,718.36832309,74802975.1150386
1746835200,2025-05-10 00:00:00,BTC/USD,102992,104985,102845,104809,624.26506624,65428597.32754816
1746748800,2025-05-09 00:00:00,BTC/USD,103234,104332,102350,102991,1336.08590855,137604823.80747306
1746662400,2025-05-08 00:00:00,BTC/USD,97059,104159,96907,103261,2303.46314389,237857907.7012253
1746576000,2025-05-07 00:00:00,BTC/USD,96815,97717,95823,97054,1333.27237851,129399417.42390953
1746489600,2025-05-06 00:00:00,BTC/USD,94725,96895,93376,96814,1074.63503655,104039716.4285517
1746403200,2025-05-05 00:00:00,BTC/USD,94301,95198,93550,94725,936.93369617,88751044.36970325
1746316800,2025-05-04 00:00:00,BTC/USD,95850,96295,94162,94316,562.77317581,53078514.84969596
1746230400,2025-05-03 00:00:00,BTC/USD,96926,96956,95800,95916,696.37418877,66793426.69006333
1746144000,2025-05-02 00:00:00,BTC/USD,96557,97938,96399,96925,919.20772116,89094208.373433
1746057600,2025-05-01 00:00:00,BTC/USD,94181,97470,94141,96535,1742.18663518,168181986.8271013
1745971200,2025-04-30 00:00:00,BTC/USD,94284,95269,92946,94181,1384.24362580,130369448.92146981
1745884800,2025-04-29 00:00:00,BTC/USD,95040,95479,93775,94285,877.67378025,82751472.37087126
1745798400,2025-04-28 00:00:00,BTC/USD,93780,95633,92846,95041,1571.43868511,149351104.07153952
1745712000,2025-04-27 00:00:00,BTC/USD,94662,95353,93685,93769,582.20526798,54592805.77321662
1745625600,2025-04-26 00:00:00,BTC/USD,94720,95249,93934,94662,518.68073079,49099355.33804298
1745539200,2025-04-25 00:00:00,BTC/USD,94010,95857,92891,94726,2287.68750103,216703486.2225678
1745452800,2025-04-24 00:00:00,BTC/USD,93730,94035,91700,94010,1192.70817510,112126495.541151
1745366400,2025-04-23 00:00:00,BTC/USD,93482,94700,91970,93730,2423.42691580,227147804.817934
1745280000,2025-04-22 00:00:00,BTC/USD,87505,93928,87094,93481,2859.46920600,267306040.84608603
1745193600,2025-04-21 00:00:00,BTC/USD,85197,88527,85134,87505,2179.81586603,190744787.35695514
1745107200,2025-04-20 00:00:00,BTC/USD,85074,85305,83974,85198,462.80974618,39430464.75504364
1745020800,2025-04-19 00:00:00,BTC/USD,84466,85611,84367,85069,631.49083813,53720294.108880974
1744934400,2025-04-18 00:00:00,BTC/USD,84954,85121,84310,84468,323.24096242,27303517.613692563
1744848000,2025-04-17 00:00:00,BTC/USD,84045,85478,83751,84954,1119.58782405,95113464.0043437
1744761600,2025-04-16 00:00:00,BTC/USD,83632,85528,83102,84046,1593.44839937,133922964.17345102
1744675200,2025-04-15 00:00:00,BTC/USD,84583,86450,83612,83686,1162.91179825,97319436.7483495
1744588800,2025-04-14 00:00:00,BTC/USD,83774,85787,83680,84583,1425.88175716,120605356.66586427
1744502400,2025-04-13 00:00:00,BTC/USD,85277,86084,83031,83712,1210.92223051,101368721.76045312
1744416000,2025-04-12 00:00:00,BTC/USD,83384,85892,82784,85274,847.63757574,72281446.63365276
1744329600,2025-04-11 00:00:00,BTC/USD,79558,84257,78942,83384,1728.84098877,144157677.00759768
1744243200,2025-04-10 00:00:00,BTC/USD,82594,82722,78424,79543,1564.07737754,124411406.84166422
1744156800,2025-04-09 00:00:00,BTC/USD,76252,83565,74588,82595,4038.27621051,333541423.6070734
1744070400,2025-04-08 00:00:00,BTC/USD,79134,80836,76159,76244,2245.50901040,171206588.98893762
1743984000,2025-04-07 00:00:00,BTC/USD,78381,81180,74434,79127,4083.99710956,323154439.2881541
1743897600,2025-04-06 00:00:00,BTC/USD,83514,83741,77098,78342,2165.48130222,169648136.17851925
1743811200,2025-04-05 00:00:00,BTC/USD,83852,84226,82358,83507,518.18185430,43271812.1070301
1743724800,2025-04-04 00:00:00,BTC/USD,83182,84708,81659,83851,2005.88282699,168195280.9259385
1743638400,2025-04-03 00:00:00,BTC/USD,82477,83896,81200,83132,1777.45240819,147763173.59765106
1743552000,2025-04-02 00:00:00,BTC/USD,85171,88563,81188,82502,2861.64666347,236091573.02960193
1743465600,2025-04-01 00:00:00,BTC/USD,82537,85530,82417,85170,1504.00240153,128095884.53831011
1743379200,2025-03-31 00:00:00,BTC/USD,82367,83914,81287,82538,1937.33727970,159903944.3918786
1743292800,2025-03-30 00:00:00,BTC/USD,82608,83500,81551,82359,840.38263469,69213073.41043371
1743206400,2025-03-29 00:00:00,BTC/USD,84384,84561,81629,82608,745.39345360,61575462.4149888
1743120000,2025-03-28 00:00:00,BTC/USD,87224,87481,83544,84379,1392.33624956,117483940.40162323
1743033600,2025-03-27 00:00:00,BTC/USD,86966,87755,85828,87219,1289.37289710,112457814.71216491
1742947200,2025-03-26 00:00:00,BTC/USD,87448,88296,85869,86913,1552.95977276,134972392.7298899
1742860800,2025-03-25 00:00:00,BTC/USD,87488,88539,86321,87436,2134.77215325,186655937.991567
1742774400,2025-03-24 00:00:00,BTC/USD,86084,88772,85541,87512,1888.33413141,165251896.50795192
1742688000,2025-03-23 00:00:00,BTC/USD,83806,86116,83806,86084,649.91397891,55947194.96048844
1742601600,2025-03-22 00:00:00,BTC/USD,84050,84490,83682,83823,316.86484991,26560562.314005926
1742515200,2025-03-21 00:00:00,BTC/USD,84179,84801,83142,84061,1146.50782993,96376594.69174574
1742428800,2025-03-20 00:00:00,BTC/USD,86870,87470,83631,84158,1877.13235545,157975704.7699611
1742342400,2025-03-19 00:00:00,BTC/USD,82694,87010,82567,86868,1926.60953491,167360717.0785619
1742256000,2025-03-18 00:00:00,BTC/USD,83930,83989,81138,82715,1290.21505333,106720138.13619095
1742169600,2025-03-17 00:00:00,BTC/USD,82569,84741,82466,84058,1198.89639605,100776833.2591709
1742083200,2025-03-16 00:00:00,BTC/USD,84362,85059,81983,82555,1178.20234353,97266494.47011915
1741996800,2025-03-15 00:00:00,BTC/USD,83984,84672,83633,84347,486.19010212,41008676.54351564
1741910400,2025-03-14 00:00:00,BTC/USD,81084,85294,80801,83975,1986.99511377,166857914.67883575
1741824000,2025-03-13 00:00:00,BTC/USD,83677,84287,79910,81079,1830.00089168,148374642.2965227
1741737600,2025-03-12 00:00:00,BTC/USD,82941,84437,80607,83620,2469.21846953,206476048.4220986
1741651200,2025-03-11 00:00:00,BTC/USD,78599,83568,76600,82869,2656.56371178,220146778.23149684
1741564800,2025-03-10 00:00:00,BTC/USD,80728,84007,77393,78561,2977.79268756,233938371.32740116
1741478400,2025-03-09 00:00:00,BTC/USD,86204,86469,80000,80708,1710.17938787,138025158.03621197
1741392000,2025-03-08 00:00:00,BTC/USD,86754,86861,85190,86192,579.74911104,49969735.37875968
1741305600,2025-03-07 00:00:00,BTC/USD,89922,91277,84713,86759,3286.78015466,285157759.43814695
