"country_name","country_border_name"
"Andorra","France"
"Andorra","Spain"
"United Arab Emirates","Oman"
"United Arab Emirates","Saudi Arabia"
"Afghanistan","China"
"Afghanistan","Iran"
"Afghanistan","Pakistan"
"Afghanistan","Tajikistan"
"Afghanistan","Turkmenistan"
"Afghanistan","Uzbekistan"
"Antigua and Barbuda",""
"Anguilla",""
"Albania","Greece"
"Albania","Kosovo"
"Albania","Montenegro"
"Albania","Macedonia"
"Albania","Serbia"
"Armenia","Azerbaijan"
"Armenia","Georgia"
"Armenia","Iran"
"Armenia","Turkey"
"Angola","Congo"
"Angola","Dem. Rep. Congo"
"Angola","Namibia"
"Angola","Zambia"
"Antarctica",""
"Argentina","Bolivia"
"Argentina","Brazil"
"Argentina","Chile"
"Argentina","Paraguay"
"Argentina","Uruguay"
"American Samoa",""
"Austria","Czechia"
"Austria","Germany"
"Austria","Hungary"
"Austria","Italy"
"Austria","Liechtenstein"
"Austria","Slovakia"
"Austria","Slovenia"
"Austria","Switzerland"
"Australia",""
"Aruba",""
"Aland Islands",""
"Azerbaijan","Armenia"
"Azerbaijan","Georgia"
"Azerbaijan","Iran"
"Azerbaijan","Russia"
"Azerbaijan","Turkey"
"Bosnia and Herz.","Croatia"
"Bosnia and Herz.","Montenegro"
"Bosnia and Herz.","Serbia"
"Barbados",""
"Bangladesh","India"
"Bangladesh","Myanmar"
"Belgium","France"
"Belgium","Germany"
"Belgium","Luxembourg"
"Belgium","Netherlands"
"Burkina Faso","Benin"
"Burkina Faso","Côte d'Ivoire"
"Burkina Faso","Ghana"
"Burkina Faso","Mali"
"Burkina Faso","Niger"
"Burkina Faso","Togo"
"Bulgaria","Greece"
"Bulgaria","Macedonia"
"Bulgaria","Romania"
"Bulgaria","Serbia"
"Bulgaria","Turkey"
"Bahrain",""
"Burundi","Dem. Rep. Congo"
"Burundi","Rwanda"
"Burundi","Tanzania"
"Benin","Burkina Faso"
"Benin","Niger"
"Benin","Nigeria"
"Benin","Togo"
"Saint Barthelemy",""
"Bermuda",""
"Brunei","Malaysia"
"Bolivia","Argentina"
"Bolivia","Brazil"
"Bolivia","Chile"
"Bolivia","Paraguay"
"Bolivia","Peru"
"Bonaire, Sint Eustatius and Saba",""
"Brazil","Argentina"
"Brazil","Bolivia"
"Brazil","Colombia"
"Brazil","Fr. S. Antarctic Lands"
"Brazil","Guyana"
"Brazil","Paraguay"
"Brazil","Peru"
"Brazil","Suriname"
"Brazil","Uruguay"
"Brazil","Venezuela"
"Bahamas",""
"Bhutan","China"
"Bhutan","India"
"Bouvet Island",""
"Botswana","Namibia"
"Botswana","South Africa"
"Botswana","Zambia"
"Botswana","Zimbabwe"
"Belarus","Latvia"
"Belarus","Lithuania"
"Belarus","Poland"
"Belarus","Russia"
"Belarus","Ukraine"
"Belize","Guatemala"
"Belize","Mexico"
"Canada","United States of America"
"Cocos (Keeling) Islands",""
"Dem. Rep. Congo","Angola"
"Dem. Rep. Congo","Burundi"
"Dem. Rep. Congo","Central African Rep."
"Dem. Rep. Congo","Congo"
"Dem. Rep. Congo","Rwanda"
"Dem. Rep. Congo","S. Sudan"
"Dem. Rep. Congo","Tanzania"
"Dem. Rep. Congo","Uganda"
"Dem. Rep. Congo","Zambia"
"Central African Rep.","Cameroon"
"Central African Rep.","Chad"
"Central African Rep.","Congo"
"Central African Rep.","Dem. Rep. Congo"
"Central African Rep.","S. Sudan"
"Central African Rep.","Sudan"
"Congo","Angola"
"Congo","Cameroon"
"Congo","Central African Rep."
"Congo","Dem. Rep. Congo"
"Congo","Gabon"
"Switzerland","Austria"
"Switzerland","France"
"Switzerland","Germany"
"Switzerland","Italy"
"Switzerland","Liechtenstein"
"Côte d'Ivoire","Burkina Faso"
"Côte d'Ivoire","Ghana"
"Côte d'Ivoire","Guinea"
"Côte d'Ivoire","Liberia"
"Côte d'Ivoire","Mali"
"Cook Islands",""
"Chile","Argentina"
"Chile","Bolivia"
"Chile","Peru"
"Cameroon","Central African Rep."
"Cameroon","Chad"
"Cameroon","Congo"
"Cameroon","Eq. Guinea"
"Cameroon","Gabon"
"Cameroon","Nigeria"
"China","Afghanistan"
"China","Bhutan"
"China","Hong Kong"
"China","India"
"China","Kazakhstan"
"China","North Korea"
"China","Kyrgyzstan"
"China","Laos"
"China","Macao"
"China","Mongolia"
"China","Myanmar"
"China","Nepal"
"China","Pakistan"
"China","Russia"
"China","Tajikistan"
"China","Vietnam"
"Colombia","Brazil"
"Colombia","Ecuador"
"Colombia","Panama"
"Colombia","Peru"
"Colombia","Venezuela"
"Costa Rica","Nicaragua"
"Costa Rica","Panama"
"Cuba",""
"Cabo Verde",""
"Curacao",""
"Christmas Island",""
"Northern Cyprus",""
"Czechia","Austria"
"Czechia","Germany"
"Czechia","Poland"
"Czechia","Slovakia"
"Germany","Austria"
"Germany","Belgium"
"Germany","Czechia"
"Germany","Denmark"
"Germany","France"
"Germany","Luxembourg"
"Germany","Netherlands"
"Germany","Poland"
"Germany","Switzerland"
"Djibouti","Eritrea"
"Djibouti","Ethiopia"
"Djibouti","Somalia"
"Djibouti","Somaliland"
"Denmark","Germany"
"Dominica",""
"Dominican Rep.","Haiti"
"Algeria","Libya"
"Algeria","Mali"
"Algeria","Mauritania"
"Algeria","Morocco"
"Algeria","Niger"
"Algeria","Tunisia"
"Algeria","W. Sahara"
"Ecuador","Colombia"
"Ecuador","Peru"
"Estonia","Latvia"
"Estonia","Russia"
"Egypt","Israel"
"Egypt","Libya"
"Egypt","Palestine"
"Egypt","Sudan"
"W. Sahara","Algeria"
"W. Sahara","Mauritania"
"W. Sahara","Morocco"
"Eritrea","Djibouti"
"Eritrea","Ethiopia"
"Eritrea","Sudan"
"Spain","Andorra"
"Spain","France"
"Spain","Gibraltar"
"Spain","Morocco"
"Spain","Portugal"
"Ethiopia","Djibouti"
"Ethiopia","Eritrea"
"Ethiopia","Kenya"
"Ethiopia","Somalia"
"Ethiopia","Somaliland"
"Ethiopia","S. Sudan"
"Ethiopia","Sudan"
"Finland","Norway"
"Finland","Russia"
"Finland","Sweden"
"Fiji",""
"Falkland Is.",""
"Micronesia (Federated States of)",""
"Faroe Islands",""
"France","Andorra"
"France","Belgium"
"France","Germany"
"France","Italy"
"France","Luxembourg"
"France","Monaco"
"France","Spain"
"France","Switzerland"
"Gabon","Cameroon"
"Gabon","Congo"
"Gabon","Eq. Guinea"
"United Kingdom","Ireland"
"Grenada",""
"Georgia","Armenia"
"Georgia","Azerbaijan"
"Georgia","Russia"
"Georgia","Turkey"
"Fr. S. Antarctic Lands","Brazil"
"Fr. S. Antarctic Lands","Suriname"
"Guernsey",""
"Ghana","Burkina Faso"
"Ghana","Côte d'Ivoire"
"Ghana","Togo"
"Gibraltar","Spain"
"Greenland",""
"Gambia","Senegal"
"Guinea","Côte d'Ivoire"
"Guinea","Guinea-Bissau"
"Guinea","Liberia"
"Guinea","Mali"
"Guinea","Senegal"
"Guinea","Sierra Leone"
"Guadeloupe",""
"Eq. Guinea","Cameroon"
"Eq. Guinea","Gabon"
"Greece","Albania"
"Greece","Bulgaria"
"Greece","Macedonia"
"Greece","Turkey"
"South Georgia and the South Sandwich Islands",""
"Guatemala","Belize"
"Guatemala","El Salvador"
"Guatemala","Honduras"
"Guatemala","Mexico"
"Guam",""
"Guinea-Bissau","Guinea"
"Guinea-Bissau","Senegal"
"Guyana","Brazil"
"Guyana","Suriname"
"Guyana","Venezuela"
"Hong Kong","China"
"Heard Island and McDonald Islands",""
"Honduras","El Salvador"
"Honduras","Guatemala"
"Honduras","Nicaragua"
"Croatia","Bosnia and Herz."
"Croatia","Hungary"
"Croatia","Montenegro"
"Croatia","Serbia"
"Croatia","Slovenia"
"Haiti","Dominican Rep."
"Hungary","Austria"
"Hungary","Croatia"
"Hungary","Romania"
"Hungary","Serbia"
"Hungary","Slovakia"
"Hungary","Slovenia"
"Hungary","Ukraine"
"Indonesia","Malaysia"
"Indonesia","Papua New Guinea"
"Indonesia","Timor-Leste"
"Ireland","United Kingdom"
"Israel","Egypt"
"Israel","Jordan"
"Israel","Lebanon"
"Israel","Palestine"
"Israel","Syria"
"Isle of Man",""
"India","Bangladesh"
"India","Bhutan"
"India","China"
"India","Myanmar"
"India","Nepal"
"India","Pakistan"
"British Indian Ocean Territory",""
"Iraq","Iran"
