country,suggestion
Fiji,what if fiji known for
Tanzania,no data
W. Sahara,no data
Canada,what if canada joined the american revolution
United States of America,what if usa collapsed
Kazakhstan,what if russia invaded kazakhstan
Uzbekistan,no data
Papua New Guinea,no data
Indonesia,what if indonesia and malaysia united
Argentina,what if argentina won the falklands war
Chile,what if chile lost the war of the pacific
Dem. Rep. Congo,no data
Somalia,what if somalia won the ogaden war
Kenya,what if kenya draws with senegal
Sudan,what if egypt kept sudan
Chad,no data
Haiti,what if foundation haiti
Dominican Rep.,no data
Russia,what if russia was catholic
Bahamas,no data
Falkland Is.,no data
Norway,what if norway conquered england
Greenland,what if greenland was green
Fr. S. Antarctic Lands,no data
Timor-Leste,no data
South Africa,what if south africa kept apartheid
Lesotho,no data
Mexico,what if mexico remained an empire
Uruguay,no data
Brazil,what if brazil was spanish
Bolivia,what if bolivia won the chaco war
Peru,no data
Colombia,what if gran colombia survived
Panama,what if panama canal broke
Costa Rica,no data
Nicaragua,no data
Honduras,no data
El Salvador,no data
Guatemala,no data
Belize,no data
Venezuela,what if venezuela joined the axis
Guyana,no data
Suriname,no data
France,what if france never sold louisiana
Ecuador,no data
Puerto Rico,what if puerto rico became a state
Jamaica,what if jamaica was still british
Cuba,what if cuba was a us state
Zimbabwe,no data
Botswana,no data
Namibia,no data
Senegal,what if kenya draws with senegal
Mali,what if mali colonized america
Mauritania,no data
Benin,no data
Niger,no data
Nigeria,what if nigeria was never colonized
Cameroon,no data
Togo,no data
Ghana,no data
Côte d'Ivoire,no data
Guinea,what if guinea pigs fight
Guinea-Bissau,no data
Liberia,what if liberia became a us state
Sierra Leone,no data
Burkina Faso,no data
Central African Rep.,no data
Congo,no data
Gabon,no data
Eq. Guinea,no data
Zambia,no data
Malawi,no data
Mozambique,no data
eSwatini,no data
Angola,no data
Burundi,no data
Israel,what if israel annexed palestine
Lebanon,what if israel annexed lebanon
Madagascar,no data
Palestine,what if palestine becomes a state
Gambia,no data
Tunisia,what if italy colonized tunisia
Algeria,what if algeria remained french
Jordan,what if jordan signed with adidas
United Arab Emirates,no data
Qatar,what if qatar wins copa america
Kuwait,what if kuwait netflix
Iraq,what if iran won the iran-iraq war
Oman,no data
Vanuatu,no data
Cambodia,no data
Thailand,what if thailand was colonized
Laos,no data
Myanmar,what if myanmar was part of india
Vietnam,what if vietnam was democratic
North Korea,what if north korea was a democracy
South Korea,what if south korea won the korean war
Mongolia,what if mongolia joined the ussr
India,what if india become superpower
Bangladesh,what if bangladesh join india
Bhutan,what if bhutan join india
Nepal,what if nepal attack india
Pakistan,what if pakistan was part of india
Afghanistan,no data
Tajikistan,no data
Kyrgyzstan,no data
Turkmenistan,no data
Iran,what if iran invaded saudi arabia
Syria,what if syria and iraq united
Armenia,no data
Sweden,what if sweden won the great northern war
Belarus,what if belarus join nato
Ukraine,what if ukraine joined nato
Poland,what if poland gave danzig
Austria,what if austria hungary collapse before ww1
Hungary,what if hungary won ww2
Moldova,what if moldova join romania
Romania,what if romania joined the allies
Lithuania,what if poland lithuania survived
Latvia,no data
Estonia,what if finland and estonia united
Germany,what if germany won ww1
Bulgaria,what if bulgaria won the second balkan war
Greece,what if greece conquered rome
Turkey,what if turkey invaded cyprus
Albania,what if albania join yugoslavia
Croatia,what if croatia won the world cup
Switzerland,what if switzerland joined ww2
Luxembourg,what if luxembourg won ww1
Belgium,what if belgium joined the central powers
Netherlands,what if netherlands
Portugal,what if portugal kept macau
Spain,what if spain joined ww1
Ireland,what if ireland was never invaded
New Caledonia,no data
Solomon Is.,no data
New Zealand,what if new zealand join australia
Australia,what if australia became a republic
Sri Lanka,no data
China,what if china joined the axis
Taiwan,what if taiwan took over china
Italy,what if italy joined the central powers
Denmark,what if denmark joined ww1
United Kingdom,what if unless meme
Iceland,what if iceland wins eurovision
Azerbaijan,no data
Georgia,what if georgia beats lsu
Philippines,what if philippines have snow
Malaysia,what if i told you that i love you
Brunei,what if brunei join malaysia
Slovenia,no data
Finland,what if finland joined the allies
Slovakia,no data
Czechia,no data
Eritrea,what if i told you that i love you
Japan,what if japan won ww2
Paraguay,no data
Yemen,no data
Saudi Arabia,no data
Antarctica,what if i told you that i love you
N. Cyprus,no data
Cyprus,what if turkey invaded cyprus
Morocco,what if morocco colonized america
Egypt,what if egypt kept sudan
Libya,what if italy kept libya
Ethiopia,what if ethiopia joined the central powers
Djibouti,no data
Somaliland,no data
Uganda,no data
Rwanda,no data
Bosnia and Herz.,no data
Macedonia,no data
Serbia,what if serbia accept the ultimatum
Montenegro,no data
Kosovo,what if i told you that i love you
Trinidad and Tobago,no data
S. Sudan,what if
