ZIP/Location,CDI,No. of responses,Hypocentral distance,Latitude,Longitude,Suspect?,Standard deviation,City,State,cityid
Cepagatti::Abruzzen::Italy,3.1,1,93,42.37,14.07,0,0.33,Cepagatti,,city_2009:::74696
Frisa::Abruzzen::Italy,2.2,1,70,42.25,14.37,0,0.33,Frisa,,city_2009:::74739
Guardiagrele::Abruzzen::Italy,2.0,1,71,42.2,14.21,0,0.33,Guardiagrele,,city_2009:::74749
Orsogna::Abruzzen::Italy,3.1,1,70,42.22,14.28,0,0.33,Orsogna,,city_2009:::74788
Pescara::Abruzzen::Italy,3.4,4,96,42.46,14.21,0,0.302,Pescara,,city_2009:::74801
San Giovanni Lipioni::Abruzzen::Italy,2.7,1,24,41.85,14.57,0,0.33,San Giovanni Lipioni,,city_2009:::74843
Vasto::Abruzzen::Italy,4.1,1,52,42.12,14.7,0,0.33,Vasto,,city_2009:::74892
Giovinazzo::Apulien::Italy,4.1,1,175,41.19,16.66,0,0.33,Giovinazzo,,city_2009:::74985
Trani::Apulien::Italy,2.0,1,152,41.28,16.41,0,0.33,Trani,,city_2009:::75122
Benevento::Campania::Italy,3.8,1,59,41.13,14.77,0,0.33,Benevento,,city_2009:::75660
Guardia Sanframondi::Campania::Italy,2.2,1,46,41.25,14.6,0,0.33,Guardia Sanframondi,,city_2009:::75770
Naples::Campania::Italy,3.0,8,95,40.85,14.27,0,0.269,Naples,,city_2009:::75815
Pagani::Campania::Italy,3.1,1,99,40.76,14.61,0,0.33,Pagani,,city_2009:::75826
Pignataro Maggiore::Campania::Italy,4.1,1,67,41.18,14.17,0,0.33,Pignataro Maggiore,,city_2009:::75843
Pomigliano dʿArco::Campania::Italy,3.8,1,87,40.9,14.38,0,0.33,Pomigliano dʿArco,,city_2009:::75847
Salerno::Campania::Italy,2.0,1,109,40.68,14.77,0,0.33,Salerno,,city_2009:::75878
SantʿArpino::Campania::Italy,2.0,1,83,40.97,14.25,0,0.33,SantʿArpino,,city_2009:::75925
Villaricca::Campania::Italy,3.4,1,91,40.91,14.2,0,0.33,Villaricca,,city_2009:::75966
Cassino::Lazio::Italy,3.8,1,72,41.5,13.82,0,0.33,Cassino,,city_2009:::76529
Rome::Lazio::Italy,1.0,1,181,41.89,12.5,0,0.33,Rome,,city_2009:::76717
Agnone::Molise::Italy,2.7,1,29,41.8,14.37,0,0.33,Agnone,,city_2009:::78016
Campobasso::Molise::Italy,4.0,4,12,41.57,14.65,0,0.302,Campobasso,,city_2009:::78023
Ferrazzano::Molise::Italy,4.5,2,16,41.53,14.67,0,0.32,Ferrazzano,,city_2009:::78054
Limosano::Molise::Italy,7.2,1,9,41.68,14.62,0,0.33,Limosano,,city_2009:::78068
Mafalda::Molise::Italy,4.7,1,34,41.95,14.72,0,0.33,Mafalda,,city_2009:::78075
Miranda::Molise::Italy,3.8,1,34,41.63,14.25,0,0.33,Miranda,,city_2009:::78078
Orbassano::Piemonte::Italy,3.1,1,688,45.02,7.53,0,0.33,Orbassano,,city_2009:::78512
