number;state;author;title;created_at;closed;closed_at
1271;OPEN;Muller Helen;does  lets-plot support embeded in java and scala;2024-12-20T06:06:25Z;false;
1270;OPEN;Artem Smirnov;`geom_boxplot`: the plot is not drawn if there is a grouping and one of the categories contains only NaN;2024-12-18T13:26:26Z;false;
1269;OPEN;Artem Smirnov;`scale_color_gradient`: Tooltip formatting does not inherit from scale formatting;2024-12-18T12:44:37Z;false;
1268;OPEN;;Native support for PNG exports;2024-12-18T11:53:39Z;false;
1267;OPEN;Artem Smirnov;`geom_text`: too small label size when applied log10 transformation;2024-12-18T11:35:08Z;false;
1266;OPEN;;Typo in element_text docs;2024-12-18T11:00:40Z;false;
1265;OPEN;;element_text margin support for dictionary;2024-12-18T10:16:27Z;false;
1264;OPEN;Artem Smirnov;`geom_crossbar`: Add `labels` parameter;2024-12-18T10:00:49Z;false;
1263;OPEN;;Custom theme development improvement;2024-12-18T09:54:42Z;false;
1262;OPEN;;Custom ticks in colorbars?;2024-12-18T09:24:37Z;false;
1261;CLOSED;Ben Woodworth;Plot limited to 1000 lines (`Internal error: IllegalStateException : Too many groups: 1099`);2024-12-09T19:18:42Z;true;2024-12-12T10:04:02Z
1257;OPEN;Artem Smirnov;`scale_x_reverse` breaks datetime formatting;2024-12-04T15:05:49Z;false;
1256;OPEN;maxidiazbattan;Feature Request: Addition of element_markdown() or something similar, to highlight part of the plot title or subtitle;2024-11-29T09:23:02Z;false;
1254;CLOSED;Nikita.Pavlenko;Tooltips overlapping when not enough vertical space for them;2024-11-26T13:19:02Z;true;2024-12-03T20:43:24Z
1252;CLOSED;Zafer Kosar;gggrid does not share labels ;2024-11-22T11:35:47Z;true;2024-11-24T18:26:44Z
1251;CLOSED;Ivan Kupriyanov;Incorrect result for `format(9.999, ".2f")`;2024-11-20T19:16:36Z;true;2024-11-22T20:59:01Z
1250;CLOSED;Artem Smirnov;`theme`: parameter `exponent_format` does not switch on superscript;2024-11-19T12:39:58Z;true;2024-12-06T11:03:02Z
1248;CLOSED;Aldo Saavedra;How to adjust the vertical position of geom_text when using position_dodge;2024-11-18T13:57:44Z;true;2024-12-04T15:57:51Z
1246;CLOSED;Artem Smirnov;Badly formatted zero break for the "~g" format;2024-11-14T17:23:24Z;true;2024-11-15T17:24:10Z
1245;CLOSED;Artem Smirnov;Axis breaks are badly formatted if explicitly set;2024-11-14T15:45:41Z;true;2024-11-15T13:51:20Z
1244;OPEN;Niclas;Feature Request: Permanent Tooltip / Annotate last datapoint;2024-11-14T15:09:48Z;false;
1241;CLOSED;Artem Smirnov;Extra trim in formatted number when type='g';2024-11-12T14:02:59Z;true;2024-11-12T16:47:44Z
1240;CLOSED;Artem Smirnov;Wrong formatting when type='s' with explicit precision;2024-11-12T13:52:27Z;true;2024-11-12T16:47:43Z
1239;CLOSED;Artem Smirnov;Formatting when type='g' for large values throws exception;2024-11-12T13:42:49Z;true;2024-11-12T16:47:43Z
1238;CLOSED;Artem Smirnov;Wrong formatting when type='g' for small values;2024-11-12T13:34:09Z;true;2024-11-12T16:47:42Z
1236;CLOSED;;Can't  insert a different label or title, per plot, for plots in FacetWrap or FacetGrid;2024-11-11T18:07:20Z;true;2024-11-19T22:11:52Z
1235;OPEN;Zafer Kosar;Legend overflow ;2024-11-11T04:14:20Z;false;
1234;CLOSED;DipuRai;lets_plot_kotlin_bridge is unable to locate libc++.1.dylib, I am using Mac m2;2024-11-09T08:53:21Z;true;2024-11-28T04:50:00Z
1232;OPEN;Ivan Kupriyanov;Sec: CVE-2024-49580 (ktor);2024-10-29T17:01:51Z;false;
1231;OPEN;Ivan Kupriyanov;Sec: CVE-2024-47554 (commons-io);2024-10-29T16:58:15Z;false;
1230;OPEN;;vjust and hjust do not work with axis_text;2024-10-29T12:08:40Z;false;
1228;CLOSED;Gregory Mitchell;Kandy `toPNG` reports NullPointerException;2024-10-25T23:17:48Z;true;2024-11-04T21:21:48Z
1227;OPEN;Igor Alshannikov;Not possible to line up angled labels with the axis tick marks;2024-10-25T18:19:19Z;false;
1224;CLOSED;Ilya Muradyan;Grouped plot hits the limit of 1000 and doesn't render with not-friendly exception;2024-10-23T02:42:36Z;true;2024-12-12T10:04:01Z
1216;OPEN;Igor Alshannikov;theme: error parsing color value pen;2024-10-21T00:48:46Z;false;
1215;OPEN;Igor Alshannikov;coord_polar: support geom_abline;2024-10-19T00:33:58Z;false;
1214;CLOSED;Igor Alshannikov;coord_polar: geom_point tooltips should take in account point size.;2024-10-18T23:41:15Z;true;2024-10-21T15:33:21Z
1213;OPEN;Igor Alshannikov;coord_polar: using "size_unit" parameter in geom_point produce emptiness ;2024-10-18T23:20:12Z;false;
1212;OPEN;Igor Alshannikov;Error when using ` scale_identity(aesthetic="shape")`;2024-10-18T20:01:52Z;false;
1211;OPEN;Igor Alshannikov;Improve tooltip docs;2024-10-17T01:28:46Z;false;
1210;OPEN;Bernhard Liebl;geom_imshow and scale_y_reverse;2024-10-16T08:13:02Z;false;
1199;OPEN;;Area chart with gradient fill;2024-09-26T09:28:21Z;false;
1198;CLOSED;;Allow tuples to define the linetype in element_line;2024-09-26T09:21:53Z;true;2024-10-23T20:31:02Z
1197;OPEN;Eric Chameroy;Request: add annotation_raster();2024-09-25T18:18:30Z;false;
1196;OPEN;Essi Parent;Failed installation on Pyodide with micropip;2024-09-25T14:52:21Z;false;
1195;CLOSED;Igor Alshannikov;Theme: missing strip.text.x parameter;2024-09-23T19:07:34Z;true;2024-10-23T20:27:17Z
1194;CLOSED;Ivan Kupriyanov;Incorrect Y-axis layout with facets and panel_inset;2024-09-23T15:50:34Z;true;2024-11-28T19:44:26Z
1191;CLOSED;;Removing only x facet labels in facet_grid;2024-09-22T22:11:25Z;true;2024-09-23T19:11:27Z
1189;CLOSED;Artem Smirnov;`ggmarginal`: bottom `boxplot` is broken;2024-09-16T15:34:46Z;true;2024-09-17T19:41:07Z
1188;OPEN;Oliver Rausch;Tooltips overrunning the plot;2024-09-16T15:29:47Z;false;
1187;CLOSED;Oliver Rausch;Suboptimal tooltip positioning in facets;2024-09-16T15:28:27Z;true;2024-11-28T20:49:37Z
1186;CLOSED;Ivan Kupriyanov;Display integer values without fractional part in tooltips;2024-09-13T11:00:40Z;true;2024-11-28T16:48:35Z
1185;OPEN;Igor Alshannikov;Axis: Logarithmic;2024-09-11T21:03:33Z;false;
1184;OPEN;Igor Alshannikov;Axis: Capping;2024-09-11T21:02:08Z;false;
1183;OPEN;Igor Alshannikov;Axis: Minor ticks;2024-09-11T21:00:55Z;false;
1182;OPEN;Igor Alshannikov;Coord: Partial polar plots;2024-09-11T20:44:43Z;false;
1181;CLOSED;Igor Alshannikov;Legend: add theme parameters controlling size of the key.;2024-09-11T20:42:17Z;true;2024-10-23T20:26:20Z
