Date,Not indexed,Indexed,Impressions
2024-09-20,,,1683
2024-09-21,2247,322,978
2024-09-22,2249,320,1025
2024-09-23,2249,320,1912
2024-09-24,2249,320,1910
2024-09-25,2253,317,2076
2024-09-26,2253,317,1817
2024-09-27,2253,317,1508
2024-09-28,2253,317,793
2024-09-29,2254,316,1009
2024-09-30,2254,316,1894
2024-10-01,2254,316,1959
2024-10-02,2253,317,2081
2024-10-03,2253,317,1893
2024-10-04,2253,317,1500
2024-10-05,2253,317,870
2024-10-06,2265,306,1090
2024-10-07,2265,306,1880
2024-10-08,2265,306,2148
2024-10-09,2269,298,2119
2024-10-10,2269,298,1946
2024-10-11,2269,298,1511
2024-10-12,2269,298,807
2024-10-13,2275,294,1101
2024-10-14,2275,294,1891
2024-10-15,2275,294,1973
2024-10-16,2284,285,2257
2024-10-17,2284,285,2508
2024-10-18,2284,285,1993
2024-10-19,2284,285,1047
2024-10-20,2285,284,1258
2024-10-21,2285,284,2322
2024-10-22,2285,284,2371
2024-10-23,2281,287,2425
2024-10-24,2281,287,2341
2024-10-25,2281,287,2073
2024-10-26,2281,287,1140
2024-10-27,2280,287,1519
2024-10-28,2280,287,2811
2024-10-29,2280,287,2924
2024-10-30,2279,292,2999
2024-10-31,2279,292,2646
2024-11-01,2279,292,2217
2024-11-02,2279,292,1180
2024-11-03,2161,457,1705
2024-11-04,2161,457,3016
2024-11-05,2161,457,3109
2024-11-06,1891,829,3086
2024-11-07,1891,829,3245
2024-11-08,1891,829,2799
2024-11-09,1891,829,1567
2024-11-10,1804,953,2045
2024-11-11,1804,953,3424
2024-11-12,1804,953,3615
2024-11-13,1813,974,3707
2024-11-14,1813,974,3455
2024-11-15,1813,974,2705
2024-11-16,1813,974,1285
2024-11-17,1821,971,1751
2024-11-18,1821,971,3595
2024-11-19,1821,971,3503
2024-11-20,1865,927,3413
2024-11-21,1865,927,2959
2024-11-22,1865,927,2582
2024-11-23,1865,927,1207
2024-11-24,1915,877,1622
2024-11-25,1915,877,2969
2024-11-26,1915,877,3039
2024-11-27,1941,850,2666
2024-11-28,1941,850,2255
2024-11-29,1941,850,2037
2024-11-30,1941,850,1191
2024-12-01,1962,829,1582
2024-12-02,1962,829,3009
2024-12-03,1962,829,3267
2024-12-04,1963,828,3452
2024-12-05,1963,828,3380
2024-12-06,1963,828,2807
2024-12-07,1963,828,1393
2024-12-08,1960,829,1971
2024-12-09,1960,829,3309
2024-12-10,1960,829,3362
2024-12-11,1962,827,3160
2024-12-12,1962,827,3090
2024-12-13,1962,827,2714
2024-12-14,1962,827,1091
2024-12-15,1963,827,1437
2024-12-16,1963,827,2978
2024-12-17,1963,827,
