Top pages,Clicks,Impressions,CTR,Position
https://lets-plot.org/,3696,45001,8.21%,36.95
https://lets-plot.org/pages/charts.html,1202,24334,4.94%,21.14
https://lets-plot.org/python/pages/api.html,690,34801,1.98%,22.85
https://lets-plot.org/python/pages/charts.html,440,10262,4.29%,24.11
https://lets-plot.org/python/pages/api/lets_plot.theme.html,267,2980,8.96%,22.8
https://lets-plot.org/pages/api/lets_plot.theme.html,248,2674,9.27%,23.88
https://lets-plot.org/python/index.html,246,17436,1.41%,13.6
https://lets-plot.org/python/pages/api/lets_plot.geom_bar.html,204,10151,2.01%,12.34
https://lets-plot.org/pages/api/lets_plot.ggsave.html,184,9712,1.89%,12.89
https://lets-plot.org/python/pages/api/lets_plot.geom_smooth.html,180,22209,0.81%,11.07
https://lets-plot.org/pages/api.html,178,7196,2.47%,19.61
https://lets-plot.org/python/pages/api/lets_plot.scale_fill_brewer.html,164,11536,1.42%,9.61
https://lets-plot.org/python/pages/api/lets_plot.geom_line.html,164,11530,1.42%,11.98
https://lets-plot.org/kotlin/index.html,157,2861,5.49%,14.57
https://lets-plot.org/python/pages/api/lets_plot.geom_ribbon.html,150,9798,1.53%,9.5
https://lets-plot.org/python/pages/api/lets_plot.geom_vline.html,149,12555,1.19%,9.52
https://lets-plot.org/python/pages/api/lets_plot.geom_point.html,146,10236,1.43%,13.12
https://lets-plot.org/python/pages/api/lets_plot.geom_text.html,142,11476,1.24%,10.62
https://lets-plot.org/pages/formats.html,140,2250,6.22%,22.35
https://lets-plot.org/python/pages/api/lets_plot.facet_wrap.html,135,5814,2.32%,15.55
https://lets-plot.org/python/pages/api/lets_plot.scale_color_manual.html,129,3251,3.97%,10.45
https://lets-plot.org/python/pages/api/lets_plot.LetsPlot.html,128,2622,4.88%,6.36
https://lets-plot.org/python/pages/api/lets_plot.geom_histogram.html,116,5286,2.19%,14.61
https://lets-plot.org/pages/maps.html,114,9392,1.21%,19.23
