number;state;author;title;created_at;closed;closed_at
266;OPEN;Andrei Kislitsyn;`scaleFillManual` doesn't work correctly with numbers;2024-12-16T11:49:18Z;false;
265;OPEN;Andrei Kislitsyn;Add `ggtb()` support in Swing and Kotlin Notebook;2024-12-06T18:50:00Z;false;
257;OPEN;Igor Alshannikov;Better documentation for the `tooltips` parameter in layer.;2024-09-05T16:31:48Z;false;
252;OPEN;Ivan Kupriyanov;asDiscrete: the levels parameter works inconsistently with values of int type;2024-07-19T17:27:50Z;false;
250;CLOSED;nort3x;Add Installation Section to README.md;2024-07-13T12:22:07Z;true;2024-07-15T19:32:09Z
244;CLOSED;Ilya Muradyan;Add Jupyter integration(s);2024-05-01T11:51:26Z;true;2024-11-20T17:54:23Z
243;CLOSED;;PolygonData ring should contain at least 3 points;2024-04-27T10:01:36Z;true;2024-04-28T07:27:15Z
241;CLOSED;Andrei Kislitsyn;`linetype` doesn't work for `geomTile`;2024-04-17T10:37:10Z;true;2024-04-26T01:06:45Z
237;CLOSED;Tom Cunningham;Q: any way to line-wrap facet labels?;2024-02-22T00:32:08Z;true;2024-04-22T21:31:47Z
236;CLOSED;Andrei Kislitsyn;Make middle strip in `geomBoxplot()` optional;2024-02-16T12:54:11Z;true;2024-02-16T19:59:26Z
235;CLOSED;Andrei Kislitsyn;Add `linetype` parameter in `elementLine()` and `elementRect()`;2024-02-14T14:45:20Z;true;2024-04-22T21:32:44Z
234;CLOSED;Andrei Kislitsyn;Unexpected behaviour of `group`;2024-02-08T11:31:37Z;true;2024-07-01T19:50:13Z
233;CLOSED;Andrei Kislitsyn;Make middle strip in `geomCrossbar()` optional;2024-01-29T11:02:10Z;true;2024-02-15T21:48:16Z
232;CLOSED;Andrei Kislitsyn;How to hide only main tooltip (not side one)?;2024-01-24T10:23:08Z;true;2024-03-19T10:22:27Z
231;CLOSED;Andrei Kislitsyn;Discrete scale doesn't work for datetime data.;2024-01-12T10:50:42Z;true;2024-04-22T21:33:37Z
230;CLOSED;Andrei Kislitsyn;Can I save plot as canvas element?;2024-01-11T15:29:37Z;true;2024-01-31T15:06:47Z
229;CLOSED;Igor Alshannikov;Nice to have tooltip to inherit formatting configured for axis.;2024-01-08T21:06:31Z;true;2024-12-16T22:50:25Z
225;CLOSED;Andrei Kislitsyn;Bug with Tooltips in Swing/Batik;2023-12-06T08:54:20Z;true;2024-03-13T13:22:46Z
222;CLOSED;Cyril de Catheu;Java interop - consider builders or overloads;2023-11-04T11:43:48Z;true;2023-11-07T01:16:03Z
220;CLOSED;Andrei Kislitsyn;Improve border line type experience;2023-11-02T12:18:47Z;true;2024-07-01T15:50:05Z
219;CLOSED;Andrei Kislitsyn;y scale doesn't work for bars/area;2023-11-02T10:53:19Z;true;2024-02-21T22:03:54Z
218;CLOSED;Andrei Kislitsyn;Axis scales are not automatically configured when using `geomABLine()`;2023-11-02T10:50:34Z;true;2023-11-07T19:16:29Z
217;CLOSED;Igor Alshannikov;Geotools: migrate to v30;2023-10-19T21:03:14Z;true;2024-01-05T19:59:58Z
216;CLOSED;Igor Alshannikov;Lollipop in legend is disproportionately large.;2023-10-17T16:48:51Z;true;2023-11-07T00:46:50Z
215;CLOSED;Kyant;How to plot dots with hex colors?;2023-10-12T12:41:39Z;true;2023-10-12T14:28:24Z
213;CLOSED;taras;Changing a default color palette;2023-10-10T18:37:35Z;true;2024-10-01T16:57:22Z
199;CLOSED;Valeri Kuparashvili;Getting errors while exporting image outside of Intellij IDEA;2023-08-08T17:52:33Z;true;2023-08-09T21:57:05Z
197;CLOSED;Martmists;Subplot themes not inherited by parent;2023-08-02T16:04:49Z;true;2023-11-07T00:50:28Z
195;CLOSED;Igor Alshannikov;geomStep: add 'tooltips' parameter;2023-08-01T19:22:09Z;true;2023-08-24T20:19:22Z
