number;state;author;title;created_at;closed;closed_at
27;OPEN;加油;Does lets-plot-skia support setting ggtb function?;2024-12-18T06:12:57Z;false;
26;CLOSED;加油;Error when upgrading letsPlot to 4.5.2;2024-12-17T05:39:36Z;true;2024-12-17T16:08:47Z
24;CLOSED;加油;Compose multiplatform version has been updated to 1.7.0, please add support for the above.;2024-10-18T01:19:47Z;true;2024-12-12T15:34:00Z
19;CLOSED;Ivan Kupriyanov;theme(exponent="pow") doesn't align text properly;2024-08-08T15:00:19Z;true;2024-08-08T20:40:30Z
15;CLOSED;Ivan Kupriyanov;fontfamily aes is not supported;2024-08-06T19:17:45Z;true;2024-08-06T22:58:39Z
14;CLOSED;加油;When setting the title to Chinese, Chinese garbled characters appear。;2024-08-01T01:29:22Z;true;2024-08-08T14:47:09Z
13;CLOSED;;Sluggish UI on Ubuntu 24.04, Corretto JDK 17.04, Is there a way to enable/check GPU rendering? ;2024-07-14T18:00:09Z;true;2024-08-06T23:06:13Z
12;OPEN;加油;When zooming the page with the mouse, a black layer appears when refreshing;2024-05-25T13:54:15Z;false;
11;CLOSED;加油;[question] When will lets-plot-skia support kotlin 2.0.0 and Compose 1.6.10?;2024-05-25T13:42:41Z;true;2024-08-30T21:38:02Z
10;OPEN;Kevin Cianfarini;Jetpack Compose internal error on Android ;2024-03-14T20:56:34Z;false;
9;OPEN;Ivan Kupriyanov;Android: fast plot rebuild can cause a crash;2023-11-27T19:37:28Z;false;
8;CLOSED;;Problem with running app, runtime library is missing;2023-11-19T22:58:39Z;true;2023-11-30T20:15:29Z
6;CLOSED;加油; Does PlotPanel support dynamically refreshing data;2023-11-12T03:51:39Z;true;2023-12-01T14:35:07Z
5;OPEN;Ivan Kupriyanov;Android: Only one subplot in the gggrid should display the tooltip.;2023-11-09T17:35:30Z;false;
4;OPEN;Ivan Kupriyanov;Swing/Compose: If the mouse is moving fast enough, tooltips may get stuck on the gggrid.;2023-11-09T17:28:06Z;false;
2;CLOSED;Sanmer;Unexpected redraw;2023-10-20T04:18:35Z;true;2023-11-02T22:10:15Z
1;CLOSED;Igor Alshannikov;Geometry should be clipped by the boundaries of the plotting area.;2023-10-02T21:20:49Z;true;2023-10-03T19:54:15Z
