hash,repo_name,version,release_kind,date,added,changed,fixed,repo_link,demo_link
8bf80995dd723dc2539ecf42eaeede5e67886c7f,lets-plot-skia,2.1.1,patch,Tue Dec 17 16:40:36 2024 +0100,0,3,0,https://github.com/JetBrains/lets-plot-skia/releases/tag/v2.1.1,
72953acf5242254c46893a1e2d81e1f4220dab45,lets-plot-kotlin,4.9.3,patch,Mon Dec 16 17:12:09 2024 -0500,0,2,17,https://github.com/JetBrains/lets-plot-kotlin/releases/tag/v4.9.3,
dfbd0ca13d1717fbe8f6ab187367efae5c8a2244,lets-plot,4.5.2,patch,Fri Dec 13 18:47:00 2024 +0100,0,2,18,https://github.com/JetBrains/lets-plot/releases/tag/v4.5.2,
15c8005dddb2cec2d324861a769e147de730853d,lets-plot-skia,2.1.0,minor,Thu Dec 12 16:25:41 2024 +0100,1,1,0,https://github.com/JetBrains/lets-plot-skia/releases/tag/v2.1.0,
2631545964c6951f98f35a4491d933767062525a,lets-plot-kotlin,4.9.2,patch,Tue Nov 19 13:34:04 2024 -0500,0,0,0,https://github.com/JetBrains/lets-plot-kotlin/releases/tag/v4.9.2,
8f19b4c11fd5e967bbda6cc4f752db22488beb4c,lets-plot-kotlin,4.9.1,patch,Mon Nov 18 17:01:56 2024 -0500,0,1,0,https://github.com/JetBrains/lets-plot-kotlin/releases/tag/v4.9.1,
f7d5668e8b621ec22cbf3e2647aae09f0d4532fa,lets-plot-kotlin,4.9.0,minor,Fri Nov 1 14:18:12 2024 -0400,8,3,12,https://github.com/JetBrains/lets-plot-kotlin/releases/tag/v4.9.0,https://nbviewer.org/github/JetBrains/lets-plot-kotlin/tree/master/docs/examples/jupyter-notebooks/f-4.9.0/
55105aaf81cb6f30c7612714110023aa4a8b6c71,lets-plot,4.5.1,patch,Fri Oct 25 17:25:38 2024 +0200,0,1,2,https://github.com/JetBrains/lets-plot/releases/tag/v4.5.1,
fed606ae898a3f2a3b0649dbdaf943504265eff5,lets-plot,4.5.0,minor,Wed Oct 23 17:22:18 2024 +0200,9,4,14,https://github.com/JetBrains/lets-plot/releases/tag/v4.5.0,https://nbviewer.org/github/JetBrains/lets-plot/tree/master/docs/f-24g/
f0d37bd256144ca9c5d5e110638d3c2638003bda,lets-plot-skia,2.0.0,major,Fri Aug 30 16:35:43 2024 -0400,0,1,0,https://github.com/JetBrains/lets-plot-skia/releases/tag/v2.0.0,
a929102d6faa541dea595c6360fbcf26a438b6a8,lets-plot-skia,1.0.4,patch,Mon Aug 26 17:33:03 2024 -0400,0,0,4,https://github.com/JetBrains/lets-plot-skia/releases/tag/v1.0.4,
e36cb9a2d07b275fb4d23af55de8a8ca5b487735,lets-plot,4.4.1,patch,Wed Aug 21 18:05:46 2024 +0200,1,0,2,https://github.com/JetBrains/lets-plot/releases/tag/v4.4.1,https://nbviewer.org/github/JetBrains/lets-plot/tree/master/docs/f-24f/
303461f7460eb4a23cc21423d3d3ce89f662fb75,lets-plot-kotlin,4.8.0,minor,Tue Aug 20 17:19:52 2024 -0400,6,1,7,https://github.com/JetBrains/lets-plot-kotlin/releases/tag/v4.8.0,https://nbviewer.org/github/JetBrains/lets-plot-kotlin/tree/master/docs/examples/jupyter-notebooks/f-4.8.0/
6091b635eeaea9fe1c8d27c313e9827080f7173c,lets-plot,4.4.0,minor,Fri Aug 2 17:13:12 2024 +0200,7,3,7,https://github.com/JetBrains/lets-plot/releases/tag/v4.4.0,https://nbviewer.org/github/JetBrains/lets-plot/tree/master/docs/f-24e/
4bf820cda00f77d824e69af12341e75e08b86a84,lets-plot-kotlin,4.7.3,patch,Thu May 30 13:37:01 2024 -0400,1,0,5,https://github.com/JetBrains/lets-plot-kotlin/releases/tag/v4.7.3,https://nbviewer.org/github/JetBrains/lets-plot-kotlin/tree/master/docs/examples/jupyter-notebooks/f-4.7.3/
0f28341f1daf1bc8c263f2412894b6e8e4d3e73e,lets-plot,4.3.3,patch,Wed May 29 18:14:19 2024 +0200,1,1,5,https://github.com/JetBrains/lets-plot/releases/tag/v4.3.3,https://nbviewer.org/github/JetBrains/lets-plot/tree/master/docs/f-24d/
43e6b300962e14b8ab2c5429491680e24622b064,lets-plot-kotlin,4.7.2,patch,Thu Apr 25 17:20:18 2024 -0400,0,0,3,https://github.com/JetBrains/lets-plot-kotlin/releases/tag/v4.7.2,
de1b96cc5120485112a6f6457f6351e5e0131fed,lets-plot,4.3.2,patch,Thu Apr 25 16:48:41 2024 +0200,0,1,4,https://github.com/JetBrains/lets-plot/releases/tag/v4.3.2,https://nbviewer.org/github/JetBrains/lets-plot/tree/master/docs/f-24c/
850e65c9cf6a4a8c7a7747f916d08f47648affa3,lets-plot-kotlin,4.7.1,patch,Mon Apr 22 16:35:33 2024 -0400,6,1,16,https://github.com/JetBrains/lets-plot-kotlin/releases/tag/v4.7.1,https://nbviewer.org/github/JetBrains/lets-plot-kotlin/tree/master/docs/examples/jupyter-notebooks/f-4.7.1/
a3233e9cdbe6b8474a90d7443c20564de16e3cfb,lets-plot,4.3.1,patch,Tue Apr 16 16:09:51 2024 +0200,7,0,25,https://github.com/JetBrains/lets-plot/releases/tag/v4.3.1,https://nbviewer.org/github/JetBrains/lets-plot/tree/master/docs/f-24b/
0f795449c7975cf74e143b75a97ad0643044b394,lets-plot-skia,1.0.3,patch,Thu Mar 21 20:38:55 2024 -0400,2,1,0,https://github.com/JetBrains/lets-plot-skia/releases/tag/v1.0.3,
92c4d02fb309615fc697a15884639fa0fb88f618,lets-plot-kotlin,4.7.0,minor,Fri Mar 15 14:54:44 2024 -0400,5,1,14,https://github.com/JetBrains/lets-plot-kotlin/releases/tag/v4.7.0,https://nbviewer.org/github/JetBrains/lets-plot-kotlin/tree/master/docs/examples/jupyter-notebooks/f-4.7.0/
09484c78d9c9873598bd24afde294d1180afc59a,lets-plot,4.3.0,minor,Thu Mar 7 17:57:33 2024 +0100,6,2,14,https://github.com/JetBrains/lets-plot/releases/tag/v4.3.0,https://nbviewer.org/github/JetBrains/lets-plot/tree/master/docs/f-24a/
27e089081f23c81f55ab49ab7094a346d2c563e4,lets-plot-kotlin,4.6.0,minor,Wed Jan 10 13:13:09 2024 -0500,9,3,13,https://github.com/JetBrains/lets-plot-kotlin/releases/tag/v4.6.0,https://nbviewer.org/github/JetBrains/lets-plot-kotlin/tree/master/docs/examples/jupyter-notebooks/f-4.6.0/
523aeb73c2b733839070b14b29af60e638b77f5b,lets-plot,4.2.0,minor,Thu Dec 28 14:09:55 2023 +0100,12,2,11,https://github.com/JetBrains/lets-plot/releases/tag/v4.2.0,https://nbviewer.org/github/JetBrains/lets-plot/tree/master/docs/f-23f/
