Α ``\Alpha``,Ν ``\Nu``,α ``\alpha``,ν ``\nu``
Β ``\Beta``,Ξ ``\Xi``,β ``\beta``,ξ ``\xi``
Γ ``\Gamma``,Ο ``\Omicron``,γ ``\gamma``,ο ``\omicron``
Δ ``\Delta``,Π ``\Pi``,δ ``\delta``,π ``\pi``
Ε ``\Epsilon``,Ρ ``\Rho``,ε ``\epsilon``,ρ ``\rho``
Ζ ``\Zeta``,Σ ``\Sigma``,ζ ``\zeta``,σ ``\sigma``
Η ``\Eta``,Τ ``\Tau``,η ``\eta``,τ ``\tau``
Θ ``\Theta``,Υ ``\Upsilon``,θ ``\theta``,υ ``\upsilon``
Ι ``\Iota``,Φ ``\Phi``,ι ``\iota``,φ ``\phi``
Κ ``\Kappa``,Χ ``\Chi``,κ ``\kappa``,χ ``\chi``
Λ ``\Lambda``,Ψ ``\Psi``,λ ``\lambda``,ψ ``\psi``
Μ ``\Mu``,Ω ``\Omega``,μ ``\mu``,ω ``\omega``
